"GEO_ID","NAME","B25047_001E","B25047_001M","B25047_002E","B25047_002M","B25047_003E","B25047_003M",
"0500000US01115","St. Clair County, Alabama","38667","68","37632","287","1035","295",
"0500000US01117","Shelby County, Alabama","90805","87","89501","356","1304","349",
"0500000US01119","Sumter County, Alabama","6329","99","5768","177","561","156",
"0500000US01121","Talladega County, Alabama","38285","70","36083","419","2202","419",
"0500000US01123","Tallapoosa County, Alabama","22967","41","21458","274","1509","262",
"0500000US01125","Tuscaloosa County, Alabama","102935","211","101260","449","1675","399",
"0500000US01127","Walker County, Alabama","30230","53","26817","448","3413","445",
"0500000US01129","Washington County, Alabama","7774","18","6818","201","956","203",
"0500000US01131","Wilcox County, Alabama","5314","18","4917","124","397","123",
"0500000US01133","Winston County, Alabama","13111","31","12344","212","767","208",
"0500000US02013","Aleutians East Borough, Alaska","1174","90","1100","85","74","28",
"0500000US02016","Aleutians West Census Area, Alaska","1391","196","1275","183","116","24",
"0500000US02020","Anchorage Municipality, Alaska","119717","3942","118088","3961","1629","437",
"0500000US02050","Bethel Census Area, Alaska","6009","39","4127","114","1882","108",
"0500000US02060","Bristol Bay Borough, Alaska","831","44","582","41","249","25",
"0500000US02063","Chugach Census Area, Alaska","3745","233","3379","246","366","74",
"0500000US02066","Copper River Census Area, Alaska","2597","107","1599","110","998","101",
"0500000US02068","Denali Borough, Alaska","1306","72","753","76","553","58",
"0500000US02070","Dillingham Census Area, Alaska","2416","181","1665","174","751","45",
"0500000US02090","Fairbanks North Star Borough, Alaska","42695","3128","38724","3009","3971","632",
"0500000US02100","Haines Borough, Alaska","1401","122","1140","120","261","90",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1741","67","1327","70","414","49",
"0500000US02110","Juneau City and Borough, Alaska","14170","74","14008","114","162","85",
"0500000US02122","Kenai Peninsula Borough, Alaska","32707","122","29273","355","3434","342",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6659","51","6377","99","282","86",
"0500000US02150","Kodiak Island Borough, Alaska","5840","323","5514","340","326","74",
"0500000US02158","Kusilvak Census Area, Alaska","2341","26","1568","60","773","57",
"0500000US02164","Lake and Peninsula Borough, Alaska","1355","69","669","50","686","47",
"0500000US02170","Matanuska-Susitna Borough, Alaska","50922","76","43457","252","7465","257",
"0500000US02180","Nome Census Area, Alaska","4109","61","2705","98","1404","76",
"0500000US02185","North Slope Borough, Alaska","2640","79","2234","136","406","129",
"0500000US02188","Northwest Arctic Borough, Alaska","2744","54","1911","70","833","54",
"0500000US02195","Petersburg Borough, Alaska","1871","179","1625","180","246","57",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3237","43","2797","71","440","75",
"0500000US02220","Sitka City and Borough, Alaska","4167","68","4015","96","152","59",
"0500000US02230","Skagway Municipality, Alaska","656","58","620","58","36","9",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3520","109","2528","141","992","92",
"0500000US02275","Wrangell City and Borough, Alaska","1300","72","1096","78","204","55",
"0500000US02282","Yakutat City and Borough, Alaska","391","42","286","41","105","19",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","3958","200","1920","169","2038","123",
"0500000US04001","Apache County, Arizona","29001","70","22273","311","6728","306",
"0500000US04003","Cochise County, Arizona","59312","114","57216","365","2096","332",
"0500000US04005","Coconino County, Arizona","69907","138","66843","328","3064","287",
"0500000US04007","Gila County, Arizona","32614","48","31308","324","1306","317",
"0500000US04009","Graham County, Arizona","13941","39","13244","182","697","173",
"0500000US04011","Greenlee County, Arizona","4422","13","3865","142","557","143",
"0500000US04012","La Paz County, Arizona","13653","49","13408","129","245","120",
"0500000US04013","Maricopa County, Arizona","1850862","452","1839411","1234","11451","1061",
"0500000US04015","Mohave County, Arizona","119593","130","116751","443","2842","414",
"0500000US04017","Navajo County, Arizona","56946","75","51298","368","5648","373",
"0500000US04019","Pima County, Arizona","475378","332","470588","649","4790","576",
"0500000US04021","Pinal County, Arizona","179861","212","178089","447","1772","383",
"0500000US04023","Santa Cruz County, Arizona","18997","41","18502","153","495","143",
"0500000US04025","Yavapai County, Arizona","124032","108","122861","298","1171","276",
"0500000US04027","Yuma County, Arizona","93924","139","93086","240","838","228",
"0500000US05001","Arkansas County, Arkansas","8697","26","7939","178","758","174",
"0500000US05003","Ashley County, Arkansas","9401","20","8695","182","706","178",
"0500000US05005","Baxter County, Arkansas","22836","36","22062","262","774","263",
"0500000US05007","Benton County, Arkansas","118496","86","115395","499","3101","490",
"0500000US05009","Boone County, Arkansas","17395","30","16917","188","478","186",
"0500000US05011","Bradley County, Arkansas","5082","17","4605","145","477","145",
"0500000US05013","Calhoun County, Arkansas","2468","29","2069","99","399","94",
"0500000US05015","Carroll County, Arkansas","13916","31","12866","259","1050","260",
"0500000US05017","Chicot County, Arkansas","5114","40","4506","165","608","165",
"0500000US05019","Clark County, Arkansas","10012","54","9472","199","540","187",
"0500000US05021","Clay County, Arkansas","7499","35","6804","171","695","168",
"0500000US05023","Cleburne County, Arkansas","15641","34","14991","198","650","187",
"0500000US05025","Cleveland County, Arkansas","3598","20","3395","83","203","81",
"0500000US05027","Columbia County, Arkansas","11032","54","10013","211","1019","201",
"0500000US05029","Conway County, Arkansas","9681","23","9174","167","507","169",
"0500000US05031","Craighead County, Arkansas","47983","53","47052","253","931","243",
"0500000US05033","Crawford County, Arkansas","25509","45","24857","221","652","222",
"0500000US05035","Crittenden County, Arkansas","21367","35","20069","245","1298","241",
"0500000US05037","Cross County, Arkansas","7581","36","7013","182","568","177",
"0500000US05039","Dallas County, Arkansas","3490","24","2942","147","548","146",
"0500000US05041","Desha County, Arkansas","5812","30","5554","118","258","117",
"0500000US05043","Drew County, Arkansas","8292","20","7870","170","422","168",
"0500000US05045","Faulkner County, Arkansas","52862","49","51758","295","1104","294",
"0500000US05047","Franklin County, Arkansas","7751","22","7328","156","423","156",
"0500000US05049","Fulton County, Arkansas","6218","15","5794","160","424","161",
"0500000US05051","Garland County, Arkansas","52570","50","50996","424","1574","424",
"0500000US05053","Grant County, Arkansas","7907","31","7783","95","124","90",
"0500000US05055","Greene County, Arkansas","19420","62","18856","204","564","201",
"0500000US05057","Hempstead County, Arkansas","9638","24","8802","214","836","213",
"0500000US05059","Hot Spring County, Arkansas","14259","74","13526","223","733","213",
"0500000US05061","Howard County, Arkansas","6162","19","5644","159","518","160",
"0500000US05063","Independence County, Arkansas","16740","27","15973","215","767","210",
"0500000US05065","Izard County, Arkansas","6749","28","6128","181","621","179",
"0500000US05067","Jackson County, Arkansas","7106","53","6554","164","552","156",
"0500000US05069","Jefferson County, Arkansas","30710","132","29628","269","1082","247",
"0500000US05071","Johnson County, Arkansas","11523","47","11172","181","351","171",
"0500000US05073","Lafayette County, Arkansas","3940","17","3202","169","738","168",
"0500000US05075","Lawrence County, Arkansas","7585","38","7261","120","324","111",
"0500000US05077","Lee County, Arkansas","3707","41","3060","136","647","128",
"0500000US05079","Lincoln County, Arkansas","4398","114","3979","156","419","116",
"0500000US05081","Little River County, Arkansas","6071","18","5393","204","678","203",
"0500000US05083","Logan County, Arkansas","9762","28","9076","214","686","214",
"0500000US05085","Lonoke County, Arkansas","30566","43","29766","237","800","237",
"0500000US05087","Madison County, Arkansas","7699","21","6915","231","784","228",
"0500000US05089","Marion County, Arkansas","9623","24","9096","169","527","174",
"0500000US05091","Miller County, Arkansas","19810","35","17988","337","1822","329",
"0500000US05093","Mississippi County, Arkansas","19126","44","16671","299","2455","291",
"0500000US05095","Monroe County, Arkansas","3843","16","3227","142","616","142",
"0500000US05097","Montgomery County, Arkansas","5469","21","4942","169","527","168",
"0500000US05099","Nevada County, Arkansas","4318","21","3960","114","358","115",
"0500000US05101","Newton County, Arkansas","4107","17","3618","135","489","132",
"0500000US05103","Ouachita County, Arkansas","11870","22","10186","346","1684","346",
"0500000US05105","Perry County, Arkansas","4952","19","4596","132","356","132",
"0500000US05107","Phillips County, Arkansas","8386","32","6982","233","1404","235",
"0500000US05109","Pike County, Arkansas","5319","32","4951","131","368","131",
"0500000US05111","Poinsett County, Arkansas","10418","40","9731","176","687","178",
"0500000US05113","Polk County, Arkansas","9647","31","8998","206","649","206",
"0500000US05115","Pope County, Arkansas","27033","97","26264","253","769","240",
"0500000US05117","Prairie County, Arkansas","4093","16","3801","109","292","110",
"0500000US05119","Pulaski County, Arkansas","192085","143","186705","740","5380","726",
"0500000US05121","Randolph County, Arkansas","8620","35","7976","223","644","219",
"0500000US05123","St. Francis County, Arkansas","9583","103","8784","244","799","216",
"0500000US05125","Saline County, Arkansas","52468","64","51515","243","953","232",
"0500000US05127","Scott County, Arkansas","4873","15","4510","161","363","160",
"0500000US05129","Searcy County, Arkansas","4721","22","4040","167","681","161",
"0500000US05131","Sebastian County, Arkansas","57197","63","55248","354","1949","350",
"0500000US05133","Sevier County, Arkansas","6768","20","6321","192","447","194",
"0500000US05135","Sharp County, Arkansas","9515","47","8841","195","674","191",
"0500000US05137","Stone County, Arkansas","6820","16","6315","172","505","172",
"0500000US05139","Union County, Arkansas","18663","33","18200","174","463","171",
"0500000US05141","Van Buren County, Arkansas","9724","25","8964","207","760","203",
"0500000US05143","Washington County, Arkansas","103174","103","101024","474","2150","478",
"0500000US05145","White County, Arkansas","33622","69","32743","257","879","245",
"0500000US05147","Woodruff County, Arkansas","3272","30","3087","67","185","61",
"0500000US05149","Yell County, Arkansas","9300","38","8891","110","409","99",
"0500000US06001","Alameda County, California","630726","295","626110","698","4616","611",
"0500000US06003","Alpine County, California","1587","96","1570","95","17","14",
"0500000US06005","Amador County, California","18919","47","18818","84","101","69",
"0500000US06007","Butte County, California","91176","88","90592","190","584","176",
"0500000US06009","Calaveras County, California","27579","32","27208","191","371","185",
"0500000US06011","Colusa County, California","8157","128","8053","152","104","62",
"0500000US06013","Contra Costa County, California","426585","219","423721","431","2864","422",
"0500000US06015","Del Norte County, California","11156","43","10701","187","455","181",
"0500000US06017","El Dorado County, California","94258","70","93823","179","435","161",
"0500000US06019","Fresno County, California","342003","174","339088","486","2915","459",
"0500000US06021","Glenn County, California","10973","41","10683","111","290","103",
"0500000US06023","Humboldt County, California","62625","77","60761","378","1864","388",
"0500000US06025","Imperial County, California","57511","185","56721","289","790","240",
"0500000US06027","Inyo County, California","9500","68","9192","121","308","92",
"0500000US06029","Kern County, California","304481","166","299983","642","4498","617",
"0500000US06031","Kings County, California","46695","107","46280","201","415","177",
"0500000US06033","Lake County, California","34271","67","33269","251","1002","246",
"0500000US06035","Lassen County, California","12232","89","11953","125","279","100",
"0500000US06037","Los Angeles County, California","3624084","1404","3595264","2202","28820","1397",
"0500000US06039","Madera County, California","50368","61","49921","178","447","160",
"0500000US06041","Marin County, California","111860","126","110980","281","880","218",
"0500000US06043","Mariposa County, California","9796","45","9563","131","233","116",
"0500000US06045","Mendocino County, California","41495","55","40902","198","593","187",
"0500000US06047","Merced County, California","89610","97","88630","270","980","240",
"0500000US06049","Modoc County, California","4774","33","4768","34","6","8",
"0500000US06051","Mono County, California","13632","18","13388","289","244","288",
"0500000US06053","Monterey County, California","144659","175","143742","335","917","258",
"0500000US06055","Napa County, California","55601","107","55122","189","479","157",
"0500000US06057","Nevada County, California","53981","70","53346","258","635","249",
"0500000US06059","Orange County, California","1138473","472","1134404","665","4069","476",
"0500000US06061","Placer County, California","176233","91","175265","259","968","245",
"0500000US06063","Plumas County, California","15037","29","14864","96","173","93",
"0500000US06065","Riverside County, California","860042","290","854082","731","5960","674",
"0500000US06067","Sacramento County, California","593616","517","590863","650","2753","470",
"0500000US06069","San Benito County, California","20937","82","20685","156","252","135",
"0500000US06071","San Bernardino County, California","738535","358","729748","888","8787","766",
"0500000US06073","San Diego County, California","1240607","578","1234879","910","5728","700",
"0500000US06075","San Francisco County, California","411542","238","401040","1159","10502","1073",
"0500000US06077","San Joaquin County, California","256826","299","254757","480","2069","367",
"0500000US06079","San Luis Obispo County, California","124871","109","124310","216","561","205",
"0500000US06081","San Mateo County, California","285558","156","284469","305","1089","278",
"0500000US06083","Santa Barbara County, California","159766","144","158893","300","873","266",
"0500000US06085","Santa Clara County, California","694209","417","690846","578","3363","445",
"0500000US06087","Santa Cruz County, California","106635","139","105633","317","1002","270",
"0500000US06089","Shasta County, California","79748","87","78995","251","753","222",
"0500000US06091","Sierra County, California","2099","96","1994","117","105","75",
"0500000US06093","Siskiyou County, California","23066","57","22508","143","558","137",
"0500000US06095","Solano County, California","163455","127","162640","284","815","249",
"0500000US06097","Sonoma County, California","206319","179","204436","507","1883","480",
"0500000US06099","Stanislaus County, California","184240","176","183017","386","1223","367",
"0500000US06101","Sutter County, California","34681","41","34546","83","135","73",
"0500000US06103","Tehama County, California","27456","37","26957","199","499","189",
"0500000US06105","Trinity County, California","8122","33","7648","146","474","143",
"0500000US06107","Tulare County, California","152542","106","150261","458","2281","438",
"0500000US06109","Tuolumne County, California","31491","64","31130","164","361","147",
"0500000US06111","Ventura County, California","294651","177","292893","389","1758","341",
"0500000US06113","Yolo County, California","81543","72","81096","192","447","175",
"0500000US06115","Yuba County, California","30089","45","29612","185","477","183",
"0500000US08001","Adams County, Colorado","191765","125","191219","227","546","175",
"0500000US08003","Alamosa County, Colorado","7148","24","6760","157","388","152",
"0500000US08005","Arapahoe County, Colorado","265980","126","264842","287","1138","283",
"0500000US08007","Archuleta County, Colorado","9710","19","9551","109","159","108",
"0500000US08009","Baca County, Colorado","1986","18","1918","32","68","27",
"0500000US08011","Bent County, Colorado","2163","25","2140","29","23","23",
"0500000US08013","Boulder County, Colorado","142809","122","141680","318","1129","274",
"0500000US08014","Broomfield County, Colorado","32261","54","32200","78","61","48",
"0500000US08015","Chaffee County, Colorado","11315","27","11240","98","75","90",
"0500000US08017","Cheyenne County, Colorado","965","83","880","88","85","31",
"0500000US08019","Clear Creek County, Colorado","5768","16","5482","168","286","167",
"0500000US08021","Conejos County, Colorado","4058","47","3884","80","174","65",
"0500000US08023","Costilla County, Colorado","2418","20","2125","87","293","80",
"0500000US08025","Crowley County, Colorado","1535","39","1497","49","38","21",
"0500000US08027","Custer County, Colorado","4349","233","4209","236","140","100",
"0500000US08029","Delta County, Colorado","14931","42","14250","213","681","211",
"0500000US08031","Denver County, Colorado","352593","173","350557","415","2036","380",
"0500000US08033","Dolores County, Colorado","1640","137","1516","127","124","61",
"0500000US08035","Douglas County, Colorado","140542","95","140175","161","367","123",
"0500000US08037","Eagle County, Colorado","33455","39","33285","82","170","75",
"0500000US08039","Elbert County, Colorado","10193","37","10158","39","35","22",
"0500000US08041","El Paso County, Colorado","296753","147","295147","394","1606","367",
"0500000US08043","Fremont County, Colorado","20449","90","20035","200","414","186",
"0500000US08045","Garfield County, Colorado","24640","53","24547","109","93","97",
"0500000US08047","Gilpin County, Colorado","3706","223","3606","253","100","101",
"0500000US08049","Grand County, Colorado","17037","24","16926","82","111","80",
"0500000US08051","Gunnison County, Colorado","12348","34","11927","131","421","129",
"0500000US08053","Hinsdale County, Colorado","1384","75","1342","74","42","18",
"0500000US08055","Huerfano County, Colorado","4750","21","4619","86","131","85",
"0500000US08057","Jackson County, Colorado","1155","72","1047","83","108","48",
"0500000US08059","Jefferson County, Colorado","251183","194","249633","424","1550","380",
"0500000US08061","Kiowa County, Colorado","704","73","666","72","38","26",
"0500000US08063","Kit Carson County, Colorado","3426","16","3350","45","76","41",
"0500000US08065","Lake County, Colorado","4033","272","3996","278","37","43",
"0500000US08067","La Plata County, Colorado","28613","49","28046","227","567","227",
"0500000US08069","Larimer County, Colorado","161882","212","160569","346","1313","278",
"0500000US08071","Las Animas County, Colorado","8134","41","7914","94","220","87",
"0500000US08073","Lincoln County, Colorado","2385","35","2275","72","110","58",
"0500000US08075","Logan County, Colorado","8709","115","8609","146","100","80",
"0500000US08077","Mesa County, Colorado","68861","61","68200","231","661","226",
"0500000US08079","Mineral County, Colorado","1251","75","1216","79","35","27",
"0500000US08081","Moffat County, Colorado","6114","23","5846","119","268","116",
"0500000US08083","Montezuma County, Colorado","12314","70","12067","128","247","116",
"0500000US08085","Montrose County, Colorado","19429","38","18800","200","629","196",
"0500000US08087","Morgan County, Colorado","11670","30","11609","47","61","33",
"0500000US08089","Otero County, Colorado","8725","53","8654","72","71","47",
"0500000US08091","Ouray County, Colorado","3466","164","3369","177","97","67",
"0500000US08093","Park County, Colorado","14362","24","13784","217","578","215",
"0500000US08095","Phillips County, Colorado","2085","153","2065","144","20","28",
"0500000US08097","Pitkin County, Colorado","13350","26","13326","45","24","39",
"0500000US08099","Prowers County, Colorado","5466","20","5456","23","10","10",
"0500000US08101","Pueblo County, Colorado","73031","142","72374","221","657","167",
"0500000US08103","Rio Blanco County, Colorado","3288","21","3081","101","207","96",
"0500000US08105","Rio Grande County, Colorado","6574","34","6432","114","142","111",
"0500000US08107","Routt County, Colorado","16913","39","16762","78","151","68",
"0500000US08109","Saguache County, Colorado","3838","18","3585","81","253","84",
"0500000US08111","San Juan County, Colorado","720","64","655","65","65","33",
"0500000US08113","San Miguel County, Colorado","6606","19","6479","65","127","61",
"0500000US08115","Sedgwick County, Colorado","1184","84","1154","84","30","22",
"0500000US08117","Summit County, Colorado","31849","37","31628","134","221","130",
"0500000US08119","Teller County, Colorado","13516","28","13250","147","266","144",
"0500000US08121","Washington County, Colorado","2280","36","2231","44","49","26",
"0500000US08123","Weld County, Colorado","125033","110","124169","256","864","228",
"0500000US08125","Yuma County, Colorado","4324","20","4305","35","19","25",
"0500000US09110","Capitol Planning Region, Connecticut","415269","177","411843","533","3426","505",
"0500000US09120","Greater Bridgeport Planning Region, Connecticut","125678","151","124661","284","1017","234",
"0500000US09130","Lower Connecticut River Valley Planning Region, Connecticut","82771","140","82209","261","562","233",
"0500000US09140","Naugatuck Valley Planning Region, Connecticut","191984","108","190044","452","1940","424",
"0500000US09150","Northeastern Connecticut Planning Region, Connecticut","41629","61","40703","254","926","246",
"0500000US09160","Northwest Hills Planning Region, Connecticut","55665","84","54695","264","970","244",
"0500000US09170","South Central Connecticut Planning Region, Connecticut","247217","141","245700","357","1517","306",
"0500000US09180","Southeastern Connecticut Planning Region, Connecticut","125728","97","123510","426","2218","409",
"0500000US09190","Western Connecticut Planning Region, Connecticut","250108","126","248445","362","1663","363",
"0500000US10001","Kent County, Delaware","74997","89","73689","372","1308","359",
"0500000US10003","New Castle County, Delaware","235057","118","232823","382","2234","371",
"0500000US10005","Sussex County, Delaware","147904","147","146425","350","1479","339",
"0500000US11001","District of Columbia, District of Columbia","356101","179","351302","615","4799","599",
"0500000US12001","Alachua County, Florida","125702","238","124408","412","1294","321",
"0500000US12003","Baker County, Florida","10013","30","9999","39","14","23",
"0500000US12005","Bay County, Florida","106209","61","104356","404","1853","400",
"0500000US12007","Bradford County, Florida","10826","30","10677","107","149","107",
"0500000US12009","Brevard County, Florida","294461","215","293026","349","1435","272",
"0500000US12011","Broward County, Florida","863128","194","858297","611","4831","598",
"0500000US12013","Calhoun County, Florida","5663","20","4985","195","678","192",
"0500000US12015","Charlotte County, Florida","114821","127","114160","286","661","258",
"0500000US12017","Citrus County, Florida","83417","76","82752","236","665","224",
"0500000US12019","Clay County, Florida","87165","83","86708","207","457","198",
"0500000US12021","Collier County, Florida","234732","160","233840","475","892","454",
"0500000US12023","Columbia County, Florida","30066","37","29060","286","1006","289",
"0500000US12027","DeSoto County, Florida","15713","66","15511","155","202","139",
"0500000US12029","Dixie County, Florida","9365","24","8888","226","477","223",
"0500000US12031","Duval County, Florida","445946","228","439952","839","5994","821",
"0500000US12033","Escambia County, Florida","147678","200","145001","527","2677","491",
"0500000US12035","Flagler County, Florida","58520","58","58520","58","0","35",
"0500000US12037","Franklin County, Florida","8476","22","8153","129","323","124",
"0500000US12039","Gadsden County, Florida","19100","39","17693","268","1407","270",
"0500000US12041","Gilchrist County, Florida","7697","51","7672","55","25","32",
"0500000US12043","Glades County, Florida","6612","27","6433","132","179","130",
"0500000US12045","Gulf County, Florida","9142","55","8793","144","349","148",
"0500000US12047","Hamilton County, Florida","5638","23","5161","181","477","176",
"0500000US12049","Hardee County, Florida","9884","24","9815","66","69","59",
"0500000US12051","Hendry County, Florida","15639","35","15213","187","426","179",
"0500000US12053","Hernando County, Florida","90991","68","90360","195","631","198",
"0500000US12055","Highlands County, Florida","58086","65","57725","145","361","127",
"0500000US12057","Hillsborough County, Florida","618220","209","613854","577","4366","567",
"0500000US12059","Holmes County, Florida","8642","26","7899","192","743","191",
"0500000US12061","Indian River County, Florida","85093","56","84607","213","486","201",
"0500000US12063","Jackson County, Florida","20061","51","18841","218","1220","209",
"0500000US12065","Jefferson County, Florida","6815","27","6399","172","416","171",
"0500000US12067","Lafayette County, Florida","3334","163","3242","179","92","81",
"0500000US12069","Lake County, Florida","182666","89","180906","427","1760","421",
"0500000US12071","Lee County, Florida","430243","197","427163","500","3080","479",
"0500000US12073","Leon County, Florida","135906","110","133104","565","2802","540",
"0500000US12075","Levy County, Florida","21197","36","20861","129","336","128",
"0500000US12077","Liberty County, Florida","3209","162","3064","172","145","82",
"0500000US12079","Madison County, Florida","8392","20","8167","94","225","92",
"0500000US12081","Manatee County, Florida","214510","101","213145","417","1365","416",
"0500000US12083","Marion County, Florida","183453","87","179550","587","3903","584",
"0500000US12085","Martin County, Florida","82297","57","82012","113","285","113",
"0500000US12086","Miami-Dade County, Florida","1085414","284","1078720","734","6694","705",
"0500000US12087","Monroe County, Florida","54418","39","54034","153","384","151",
"0500000US12089","Nassau County, Florida","43565","44","43246","166","319","166",
"0500000US12091","Okaloosa County, Florida","102475","72","101672","290","803","283",
"0500000US12093","Okeechobee County, Florida","18532","49","18269","140","263","124",
"0500000US12095","Orange County, Florida","576450","256","573391","754","3059","736",
"0500000US12097","Osceola County, Florida","164195","70","163766","266","429","258",
"0500000US12099","Palm Beach County, Florida","713855","328","710677","530","3178","453",
"0500000US12101","Pasco County, Florida","265118","146","262979","427","2139","409",
"0500000US12103","Pinellas County, Florida","518180","201","513372","671","4808","634",
"0500000US12105","Polk County, Florida","329750","186","327920","447","1830","411",
"0500000US12107","Putnam County, Florida","36614","53","35801","222","813","221",
"0500000US12109","St. Johns County, Florida","127144","91","126499","275","645","258",
"0500000US12111","St. Lucie County, Florida","154930","226","153958","433","972","344",
"0500000US12113","Santa Rosa County, Florida","78275","59","77303","291","972","289",
"0500000US12115","Sarasota County, Florida","260272","218","259321","357","951","284",
"0500000US12117","Seminole County, Florida","197167","133","196263","286","904","272",
"0500000US12119","Sumter County, Florida","80371","85","79949","232","422","198",
"0500000US12121","Suwannee County, Florida","19063","33","18356","191","707","187",
"0500000US12123","Taylor County, Florida","11177","27","10691","228","486","226",
"0500000US12125","Union County, Florida","4772","29","4708","71","64","68",
"0500000US12127","Volusia County, Florida","277851","175","274890","591","2961","570",
"0500000US12129","Wakulla County, Florida","14184","35","13666","205","518","204",
"0500000US12131","Walton County, Florida","58894","52","58248","260","646","259",
"0500000US12133","Washington County, Florida","10962","38","10463","171","499","157",
"0500000US13001","Appling County, Georgia","8526","36","8126","174","400","170",
"0500000US13003","Atkinson County, Georgia","3509","18","3346","102","163","102",
"0500000US13005","Bacon County, Georgia","4830","24","4666","118","164","117",
"0500000US13007","Baker County, Georgia","1419","140","1346","141","73","49",
"0500000US13009","Baldwin County, Georgia","20180","58","19925","134","255","114",
"0500000US13011","Banks County, Georgia","7373","38","7142","104","231","98",
"0500000US13013","Barrow County, Georgia","31298","64","30730","206","568","189",
"0500000US13015","Bartow County, Georgia","43877","61","42684","382","1193","385",
