"GEO_ID","NAME","B25047_001E","B25047_001M","B25047_002E","B25047_002M","B25047_003E","B25047_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities","Margin of Error!!Total:!!Complete plumbing facilities","Estimate!!Total:!!Lacking complete plumbing facilities","Margin of Error!!Total:!!Lacking complete plumbing facilities",
"0500000US01001","Autauga County, Alabama","24731","58","24166","262","565","252",
"0500000US01003","Baldwin County, Alabama","128518","178","126584","529","1934","485",
"0500000US01005","Barbour County, Alabama","11702","43","10835","214","867","210",
"0500000US01007","Bibb County, Alabama","9090","101","8536","177","554","151",
"0500000US01009","Blount County, Alabama","24793","42","23675","276","1118","277",
"0500000US01011","Bullock County, Alabama","4554","29","4367","118","187","111",
"0500000US01013","Butler County, Alabama","9841","60","8503","260","1338","276",
"0500000US01015","Calhoun County, Alabama","53271","79","51040","346","2231","339",
"0500000US01017","Chambers County, Alabama","16427","39","15819","218","608","217",
"0500000US01019","Cherokee County, Alabama","14663","61","13923","264","740","248",
"0500000US01021","Chilton County, Alabama","19702","34","19352","192","350","190",
"0500000US01023","Choctaw County, Alabama","7164","19","6255","233","909","229",
"0500000US01025","Clarke County, Alabama","11727","30","10608","282","1119","278",
"0500000US01027","Clay County, Alabama","7072","24","6454","216","618","214",
"0500000US01029","Cleburne County, Alabama","6853","21","6227","186","626","180",
"0500000US01031","Coffee County, Alabama","24399","61","23563","228","836","211",
"0500000US01033","Colbert County, Alabama","27887","38","26153","386","1734","387",
"0500000US01035","Conecuh County, Alabama","6444","18","5655","196","789","195",
"0500000US01037","Coosa County, Alabama","6042","21","5459","161","583","162",
"0500000US01039","Covington County, Alabama","18676","33","17213","262","1463","261",
"0500000US01041","Crenshaw County, Alabama","6562","31","6002","145","560","143",
"0500000US01043","Cullman County, Alabama","39538","58","38150","271","1388","268",
"0500000US01045","Dale County, Alabama","22910","42","21851","278","1059","278",
"0500000US01047","Dallas County, Alabama","18949","43","17847","291","1102","292",
"0500000US01049","DeKalb County, Alabama","30853","62","29486","325","1367","326",
"0500000US01051","Elmore County, Alabama","37085","73","36883","135","202","118",
"0500000US01053","Escambia County, Alabama","16759","48","15266","288","1493","281",
"0500000US01055","Etowah County, Alabama","47487","69","44596","424","2891","413",
"0500000US01057","Fayette County, Alabama","7798","26","7350","150","448","150",
"0500000US01059","Franklin County, Alabama","13965","36","12971","267","994","269",
"0500000US01061","Geneva County, Alabama","12555","44","12091","183","464","180",
"0500000US01063","Greene County, Alabama","4258","22","3534","179","724","178",
"0500000US01065","Hale County, Alabama","7514","21","6556","206","958","204",
"0500000US01067","Henry County, Alabama","9151","57","8485","194","666","186",
"0500000US01069","Houston County, Alabama","49774","85","46899","296","2875","284",
"0500000US01071","Jackson County, Alabama","24797","49","23555","257","1242","252",
"0500000US01073","Jefferson County, Alabama","309542","218","298138","1039","11404","1031",
"0500000US01075","Lamar County, Alabama","7107","23","6120","270","987","270",
"0500000US01077","Lauderdale County, Alabama","44801","75","42583","400","2218","408",
"0500000US01079","Lawrence County, Alabama","15317","34","14233","268","1084","268",
"0500000US01081","Lee County, Alabama","77509","85","76561","361","948","342",
"0500000US01083","Limestone County, Alabama","43487","80","42660","282","827","273",
"0500000US01085","Lowndes County, Alabama","4827","19","4677","73","150","69",
"0500000US01087","Macon County, Alabama","9664","71","8643","224","1021","209",
"0500000US01089","Madison County, Alabama","174709","216","173492","440","1217","363",
"0500000US01091","Marengo County, Alabama","9837","20","9261","180","576","182",
"0500000US01093","Marion County, Alabama","14156","36","12474","362","1682","360",
"0500000US01095","Marshall County, Alabama","41531","111","40443","274","1088","265",
"0500000US01097","Mobile County, Alabama","185413","112","177211","637","8202","630",
"0500000US01099","Monroe County, Alabama","10193","21","9182","217","1011","218",
"0500000US01101","Montgomery County, Alabama","105799","71","100409","503","5390","497",
"0500000US01103","Morgan County, Alabama","53569","67","51813","416","1756","410",
"0500000US01105","Perry County, Alabama","3961","22","3679","126","282","124",
"0500000US01107","Pickens County, Alabama","8726","68","8215","185","511","170",
"0500000US01109","Pike County, Alabama","16124","42","15277","194","847","192",
"0500000US01111","Randolph County, Alabama","12461","28","11581","247","880","246",
"0500000US01113","Russell County, Alabama","27531","31","26717","245","814","246",
