GEO_ID,County,State,FIPS,RUCC,IRR,SVI,TotalPopulation,ZIRR,ZNegMedianIncome,ZNoInternet,ZNoCollege,ZNegMentalHealthProviders,Znonwhite,ZPoverty18-64,ZLackingCompletePlumbing,Z65+,ZLessThanHighSchool,ZNoVehicle,ZHousingcostBurden,ZratioPCP,Zunemployed,Zuninsured,ZLongCommute,Zdrinkingwaterviolations,ZNaturalDisasterRisk,Zfoodinsecurity,HeartDiseaseMortality,PreventableHospitalStays,PoororFairHealth,InfantMortality,PrematureMortality
0500000US04007,Gila,AZ,4007,4,0.520287936,0.847,53922,0.09900518,-0.169651718,0.461312659,-0.407237292,0.441127472,0.584826268,0.375345783,-0.121051152,2.08567704,0.751266061,-0.068147496,0.951282576,-0.322227382,0.194088522,0.779153801,-0.729668516,1.342122145,1.54785203,0.252035176,365.1,1876,0.186,8.587257618,711.68996
0500000US48171,Gillespie,TX,48171,7,0.514576237,0.6392,27477,-0.030974017,-0.910878318,-0.974679279,0.840077934,0.405968064,-0.325628837,-1.24596787,-0.83718271,1.904902145,0.608312162,-0.264871411,-0.011345432,-0.861508899,-0.998975818,2.369243609,-0.756123473,1.342122145,0.492714617,-0.116722458,270.8,979,0.152,,312.0911026
0500000US13123,Gilmer,GA,13123,6,0.485269347,0.545,32407,-0.697900945,-1.314510667,-0.868745829,0.720358698,0.473797525,-0.470502429,-0.360095461,-0.413903684,1.150663545,0.274753063,-1.190043185,-0.515147184,-0.300850488,-0.653230008,1.686033193,0.71653578,-0.744471872,0.625839431,-0.00325857,403.1,1682,0.173,,467.7986525
0500000US54021,Gilmer,WV,54021,9,0.559002923,0.4849,7325,0.980029009,0.519493287,0.701551645,3.086421976,0.658856723,-0.242813912,0.107912603,1.13632119,-0.639712814,-0.940355083,0.654907949,-1.938971188,-0.233851409,0.984587066,-0.754465441,0.831173926,-0.744471872,-1.54729989,-1.194629388,348,5138,0.216,,476.4739368
0500000US30035,Glacier,MT,30035,9,0.582840155,0.9752,13681,1.522484789,1.018353256,-0.080478185,-1.406874777,-0.353629665,2.593472603,2.364380059,-0.118963098,-1.767793702,1.10865081,-0.918233796,-0.291949181,-0.705118869,0.796365363,1.117926905,-0.826670024,-0.744471872,-1.093689414,0.592426839,315.4,2284,0.244,,830.8189091
0500000US12043,Glades,FL,12043,8,0.523552702,0.9058,12454,0.17330036,1.548019657,0.586118627,0.95195478,0.814004702,0.785703413,1.060643307,-0.557956165,1.212275372,0.655963461,-1.657357896,0.017981814,,-0.539481535,2.838677159,1.395546334,-0.744471872,1.149710226,-0.116722458,253.7,3867,0.227,,456.9461734
0500000US26051,Gladwin,MI,26051,8,0.502381251,0.5202,25728,-0.308491166,0.12930684,-0.372623583,-0.841727302,0.174195707,-0.855025804,-0.44366833,0.121868806,1.304321973,-0.094544511,0.339187895,-0.008372734,1.295165276,1.649373884,-0.939457388,1.060450217,-0.744471872,-1.168880281,0.337133092,465.6,2411,0.178,,521.4392733
0500000US13125,Glascock,GA,13125,9,0.583077752,0.6621,2939,1.527891699,0.157049649,2.33235529,0.428732396,0.851840012,-0.439352912,-0.8448181,-0.848438613,-0.614106857,-0.999919207,0.810087066,-1.644423752,-0.054070548,-0.681450256,0.990243097,2.162740077,1.342122145,-1.624956032,-0.286918289,447.3,4376,0.19,,606.6374666
0500000US06021,Glenn,CA,6021,6,0.515005604,0.8622,28339,-0.021203055,-1.139628846,-0.889963543,-0.174594944,-0.012779252,0.962568388,-0.727816084,-0.741624344,-0.848026427,-0.440016435,-1.347938,2.503631361,1.056662513,1.090905233,-0.122245932,-0.138841151,-0.744471872,1.91764318,-0.598943979,320.9,3808,0.212,7.668711656,442.5956405
0500000US48177,Gonzales,TX,48177,6,0.519405441,0.9087,19832,0.078922554,-0.192288489,-0.246136758,1.659181256,0.709282285,0.72983777,-0.594099494,0.028092943,-0.313745401,0.644050637,1.46226973,-0.335419205,-0.235365868,-0.519180308,2.983913504,0.478441171,-0.744471872,1.653858826,0.053473373,344.1,2518,0.239,,532.6193039
