,GEO_ID,County,State,FIPS,Population,SDOH Score,RUCC,IRR,SVI,Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
1062,0500000US21217,Taylor,KY,21217,26407.0,29.089689214159026,7,0.5085298022001521,0.3395,590.90271706,,3218.0,463.4,0.203
42,0500000US39005,Ashland,OH,39005,52181.0,29.208937195138063,6,0.4729577346294105,0.3096,424.87726096,7.9537237889,2915.0,391.6,0.168
699,0500000US54049,Marion,WV,54049,55952.0,29.22303112310245,4,0.461427450589314,0.4394,515.17340259,6.2424969988,4399.0,459.4,0.195
1009,0500000US30093,Silver Bow,MT,30093,36068.0,29.27509025848023,5,0.5223131402856863,0.4534,485.26809092,,1736.0,489.0,0.146
91,0500000US56003,Big Horn,WY,56003,11855.0,29.364103793997774,9,0.6061815363180781,0.531,475.90830896,,2671.0,349.2,0.147
71,0500000US46005,Beadle,SD,46005,19376.0,29.373662471464492,7,0.5650907395513362,0.7289,369.41509138,,5489.0,305.4,0.142
673,0500000US20111,Lyon,KS,20111,31898.0,29.531091398478026,4,0.5132243887128224,0.7222,383.17708823,,1906.0,349.5,0.171
669,0500000US19117,Lucas,IA,19117,8689.0,29.536647398454242,8,0.5549791550322631,0.3458,414.52042753,,1834.0,370.6,0.149
967,0500000US29195,Saline,MO,29195,23007.0,29.57129865974437,7,0.5282005978072809,0.44,482.23406774,,3444.0,410.3,0.189
397,0500000US48171,Gillespie,TX,48171,27477.0,29.61137017042547,7,0.5433600043957107,0.6392,312.09110255,,979.0,270.8,0.152
335,0500000US42047,Elk,PA,42047,30477.0,29.612554505675163,7,0.5175509466416068,0.0824,400.01875295,,2361.0,343.5,0.153
912,0500000US29169,Pulaski,MO,29169,53941.0,29.61761429873777,5,0.4998619432599752,0.6927,546.62760299,5.0495241795,2769.0,370.2,0.188
139,0500000US16025,Camas,ID,16025,1153.0,29.64802694605161,9,0.6709126523196829,0.3271,421.9735952,,,293.1,0.171
642,0500000US53041,Lewis,WA,53041,85370.0,29.65456140653672,4,0.5079207428062974,0.7028,438.99036115,7.8678206137,2006.0,350.9,0.167
543,0500000US17081,Jefferson,IL,17081,36400.0,29.679015296819177,7,0.5006456046222427,0.7117,483.79205914,8.0720273207,3248.0,387.9,0.164
1034,0500000US36101,Steuben,NY,36101,92599.0,29.705269935762544,4,0.4774531839807093,0.4683,408.48930811,6.0410227592,2308.0,348.6,0.143
