"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0500000US51187","Warren County, Virginia","15357","348","14146","395","25","31","14121","402","13143","460","2054","302","11532","496","882","245","877","200","23","27","0","28","329","134","882","175",
"0500000US51191","Washington County, Virginia","22118","342","17974","556","100","72","17874","561","15694","524","2174","295","14904","600","1835","291","1183","214","227","111","19","29","808","200","3336","542",
"0500000US51193","Westmoreland County, Virginia","8029","420","6400","422","14","26","6386","423","5800","416","1190","258","4524","439","458","123","543","158","112","61","10","16","121","92","1508","280",
"0500000US51195","Wise County, Virginia","14055","342","11063","445","33","26","11030","448","9400","491","1596","276","9040","420","1384","292","676","193","144","98","0","28","1258","334","1734","286",
"0500000US51197","Wythe County, Virginia","12396","324","10272","448","130","82","10142","474","8895","468","2087","316","6819","443","797","196","1658","331","289","194","22","26","273","118","1851","331",
"0500000US51199","York County, Virginia","26445","300","24720","358","0","31","24720","358","23704","425","2216","355","22234","531","924","248","1506","398","31","35","0","31","510","194","1215","221",
"0500000US51510","Alexandria city, Virginia","75349","514","70718","723","51","50","70667","721","67538","921","7954","793","60989","987","2918","487","2568","340","113","99","38","53","1086","236","3545","590",
"0500000US51520","Bristol city, Virginia","7327","265","5567","331","0","21","5567","331","5082","327","485","153","4965","325","461","161","178","99","8","12","16","31","348","152","1412","306",
"0500000US51530","Buena Vista city, Virginia","2611","153","2293","188","0","19","2293","188","2050","227","282","128","1957","219","219","120","106","62","24","37","0","19","92","82","226","92",
"0500000US51540","Charlottesville city, Virginia","19699","341","17729","380","8","12","17721","380","16889","414","2947","427","14437","524","813","197","660","204","0","28","0","28","868","194","1102","222",
"0500000US51550","Chesapeake city, Virginia","92361","651","85116","1055","122","69","84994","1053","80814","1164","9993","1005","73139","1395","3790","485","3540","507","214","126","31","44","1896","525","5349","620",
"0500000US51570","Colonial Heights city, Virginia","7545","182","6593","280","0","21","6593","280","6136","302","929","231","5510","297","420","137","328","154","22","26","0","21","109","68","843","231",
"0500000US51580","Covington city, Virginia","2493","132","2042","150","0","19","2042","150","1810","151","336","130","1694","161","208","79","386","127","4","8","0","19","87","62","364","116",
"0500000US51590","Danville city, Virginia","18632","428","14215","583","46","53","14169","579","13319","555","5899","495","7671","498","767","176","827","184","67","39","0","28","707","201","3710","430",
"0500000US51595","Emporia city, Virginia","2219","213","1859","220","0","19","1859","220","1700","219","278","112","1384","186","120","59","162","86","39","46","0","19","7","11","353","120",
"0500000US51600","Fairfax city, Virginia","9158","97","8821","199","0","25","8821","199","8167","255","422","122","8243","251","654","185","373","130","0","25","0","25","80","56","257","163",
"0500000US51610","Falls Church city, Virginia","6053","142","5919","159","7","11","5912","159","5571","194","252","113","5660","200","333","132","109","77","0","21","0","21","49","42","85","55",
"0500000US51620","Franklin city, Virginia","3388","196","3052","221","0","19","3052","221","2895","229","556","164","2273","241","116","64","239","119","31","35","10","18","0","19","336","132",
"0500000US51630","Fredericksburg city, Virginia","11443","253","10523","285","0","25","10523","285","9911","342","1002","235","9120","351","498","126","229","127","24","33","65","86","119","70","801","192",
"0500000US51640","Galax city, Virginia","2729","235","2372","233","9","15","2363","230","2097","217","526","173","1684","262","266","109","174","87","0","19","0","19","28","27","329","109",
"0500000US51650","Hampton city, Virginia","57740","677","52886","732","77","68","52809","731","50056","820","6656","785","45110","996","2597","386","2589","425","28","22","11","20","1037","309","3817","478",
"0500000US51660","Harrisonburg city, Virginia","17331","330","14479","532","9","14","14470","535","13662","611","1740","305","12385","576","748","202","723","172","12","18","23","36","1657","292","1195","281",
"0500000US51670","Hopewell city, Virginia","9418","305","8061","420","0","25","8061","420","7539","453","1400","299","6435","429","453","186","652","209","36","50","0","25","174","97","1183","253",
"0500000US51678","Lexington city, Virginia","2061","256","1838","214","0","19","1838","214","1767","214","326","179","1506","194","71","50","112","93","0","19","0","19","70","73","153","98",
"0500000US51680","Lynchburg city, Virginia","28687","657","26482","720","22","23","26460","716","24975","790","3602","488","22237","795","1349","273","1683","346","75","72","6","10","401","167","1804","357",
"0500000US51683","Manassas city, Virginia","14041","216","13441","272","0","28","13441","272","12896","321","1387","321","11876","451","485","177","803","226","46","59","14","23","244","145","356","151",
"0500000US51685","Manassas Park city, Virginia","5165","205","4857","224","0","21","4857","224","4583","268","583","205","4148","252","274","121","279","126","0","21","0","21","57","52","251","138",
"0500000US51690","Martinsville city, Virginia","5619","252","4633","322","0","21","4633","322","3622","319","810","173","3596","303","943","218","292","106","55","52","0","21","230","111","756","204",
"0500000US51700","Newport News city, Virginia","75798","605","68808","831","91","57","68717","832","64603","885","11320","958","56602","1189","3671","480","7944","854","78","87","64","69","2149","292","4841","584",
"0500000US51710","Norfolk city, Virginia","94457","715","82642","1035","158","87","82484","1032","78350","1057","12193","846","68386","1343","3685","491","3693","486","91","64","40","40","3077","481","8738","748",
"0500000US51720","Norton city, Virginia","1553","139","1224","148","12","25","1212","150","1085","148","197","107","996","166","107","65","47","35","0","13","7","12","158","106","171","104",
"0500000US51730","Petersburg city, Virginia","14854","367","12390","468","48","38","12342","477","11428","471","2351","340","9475","588","729","188","1435","394","127","82","0","28","745","223","1719","303",
"0500000US51735","Poquoson city, Virginia","4657","128","4347","166","0","21","4347","166","4167","177","305","139","3990","194","161","70","214","90","9","15","0","21","38","49","272","126",
"0500000US51740","Portsmouth city, Virginia","39678","460","34754","674","41","40","34713","670","32596","764","7885","708","25742","907","2008","372","1911","388","67","44","0","31","868","263","4056","476",
"0500000US51750","Radford city, Virginia","5500","211","4868","253","0","21","4868","253","4556","246","843","191","3819","282","312","115","434","149","0","21","0","21","161","58","471","146",
"0500000US51760","Richmond city, Virginia","102145","941","86808","1169","63","72","86745","1162","82026","1222","10759","1058","73866","1309","4323","624","4571","591","133","74","28","33","5939","597","9398","806",
"0500000US51770","Roanoke city, Virginia","43429","713","36562","876","68","50","36494","865","33808","1007","4878","579","30926","957","2548","436","1524","322","33","35","28","62","1564","339","5303","530",
"0500000US51775","Salem city, Virginia","10140","247","9103","304","21","24","9082","301","8602","291","1136","234","7676","358","429","124","462","131","33","37","0","25","39","43","998","192",
"0500000US51790","Staunton city, Virginia","11356","235","9559","407","58","49","9501","407","8804","433","1437","244","7816","413","640","196","399","132","6","11","0","25","545","200","1252","278",
"0500000US51800","Suffolk city, Virginia","37133","380","33054","535","18","17","33036","535","31187","600","5317","557","26237","697","1651","314","2749","353","116","58","3","6","1025","248","3054","354",
